DATA_LAYER,FIELD,CURRENT_COVERAGE,TARGET_COVERAGE,MISSING_PERCENT,SOURCE,SOURCE_TYPE,SPORT_SCOPE,COUNTRY_SCOPE,COMPETITION_SCOPE,SEASON_SCOPE,HISTORICAL_AVAILABLE,LIVE_AVAILABLE,TIMESTAMP_AVAILABLE,EXACT_PIT_AVAILABLE,FREE,FREE_TIER_LIMIT,API_KEY_REQUIRED,DOWNLOADABLE,MATERIALIZABLE,LEGAL_ACCESS,QUALITY,RELIABILITY,UPDATE_FREQUENCY,PRIORITY,IMPLEMENTATION_STATUS,v6_status,v6_materialized_note,v7_remote_status,v7_data_gain,v7_note
MATCH,match_id,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,latitude,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,longitude,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,home_team,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,away_team,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,home_team_id,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,away_team_id,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,referee,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,round,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,stage,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,group,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,aggregate,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,attendance,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
RESULT,FT,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
RESULT,HT,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
RESULT,ET,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
RESULT,penalties,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
RESULT,winner,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
RESULT,score_home,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
RESULT,score_away,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,possession,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,shots,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,shots_on_target,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,shots_off_target,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,blocked_shots,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,big_chances,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,corners,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,offsides,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,fouls,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,yellow_cards,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,red_cards,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,free_kicks,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,goal_kicks,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,throw_ins,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,passes,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,pass_accuracy,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,crosses,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,tackles,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,duels,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,aerial_duels,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,interceptions,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,clearances,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH_STATS,saves,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,xG,0.0,100.0,100.0,StatsBomb Open Data,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,xGA,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,npxG,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,xGOT,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,xPTS,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,shot_quality,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,shot_locations,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,dangerous_attacks,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,field_tilt,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,PPDA,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,pressing,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,possession_value,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,progressive_passes,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
ADVANCED,progressive_carries,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,goal,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,assist,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,penalty,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,missed_penalty,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,own_goal,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,yellow,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,second_yellow,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,red,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,substitution,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,VAR,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,injury_event,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,card_event,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,shot_event,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,event_timestamp,0.0,100.0,100.0,StatsBomb Open Data,mixed,football/general,global,varies,varies,yes,yes,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,event_minute,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
EVENTS,event_second,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
PLAYER,player_id,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
