DATA_LAYER,FIELD,CURRENT_COVERAGE,TARGET_COVERAGE,MISSING_PERCENT,SOURCE,SOURCE_TYPE,SPORT_SCOPE,COUNTRY_SCOPE,COMPETITION_SCOPE,SEASON_SCOPE,HISTORICAL_AVAILABLE,LIVE_AVAILABLE,TIMESTAMP_AVAILABLE,EXACT_PIT_AVAILABLE,FREE,FREE_TIER_LIMIT,API_KEY_REQUIRED,DOWNLOADABLE,MATERIALIZABLE,LEGAL_ACCESS,QUALITY,RELIABILITY,UPDATE_FREQUENCY,PRIORITY,IMPLEMENTATION_STATUS,v6_status,v6_materialized_note
MATCH,match_id,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH,referee,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH,round,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH,stage,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH,group,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH,aggregate,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH,attendance,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
RESULT,FT,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
RESULT,HT,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
RESULT,ET,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
RESULT,penalties,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
RESULT,winner,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
RESULT,score_home,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
RESULT,score_away,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,possession,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,shots,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,shots_on_target,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,shots_off_target,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,blocked_shots,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,big_chances,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,corners,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,offsides,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,fouls,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,yellow_cards,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,red_cards,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,free_kicks,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,goal_kicks,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,throw_ins,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,passes,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,pass_accuracy,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,crosses,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,tackles,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,duels,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,aerial_duels,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,interceptions,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,clearances,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
MATCH_STATS,saves,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,xG,0.0,100.0,100.0,StatsBomb Open Data,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,xGA,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,npxG,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,xGOT,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,xPTS,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,shot_quality,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,shot_locations,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,dangerous_attacks,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,field_tilt,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,PPDA,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,pressing,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,possession_value,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,progressive_passes,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
ADVANCED,progressive_carries,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,goal,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,assist,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,penalty,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,missed_penalty,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,own_goal,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,yellow,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,second_yellow,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,red,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,substitution,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,VAR,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,injury_event,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,card_event,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,shot_event,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,event_timestamp,0.0,100.0,100.0,StatsBomb Open Data,mixed,football/general,global,varies,varies,yes,yes,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,event_minute,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
EVENTS,event_second,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,player_id,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,player_name,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,date_of_birth,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,nationality,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,position,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,height,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,preferred_foot,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,team,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,team_history,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,transfer_history,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,market_value,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,contract,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,minutes,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,starts,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,appearances,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,goals,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,assists,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,shots,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,shots_on_target,68.16,100.0,31.84,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MATERIALIZED_PARTIAL,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,xG,0.0,100.0,100.0,StatsBomb Open Data,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,xA,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,cards,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,substitutions,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
PLAYER,player_match_statistics,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
LINEUP,starting_xi,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P0,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
LINEUP,bench,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
LINEUP,formation,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
LINEUP,captain,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
LINEUP,substitutions,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
LINEUP,starter,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P1,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.
