country,competition,priority,gender,matches_materialized,status,source_state
Chile,Primera División,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Colombia,Primera A,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Colombia,Primera A,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Uruguay,Primera División,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Uruguay,Primera División,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Paraguay,Primera División,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Paraguay,Primera División,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Ecuador,LigaPro,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Ecuador,LigaPro,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Peru,Liga 1,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Peru,Liga 1,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Bolivia,Primera División,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Bolivia,Primera División,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Venezuela,Primera División,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Venezuela,Primera División,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
CONMEBOL,Libertadores,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
CONMEBOL,Libertadores,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
CONMEBOL,Sudamericana,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
CONMEBOL,Sudamericana,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
CONMEBOL,Recopa Sudamericana,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
CONMEBOL,Recopa Sudamericana,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
USA/Canada,MLS,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
USA/Canada,MLS,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Mexico,Liga MX,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Mexico,Liga MX,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Mexico,Liga de Expansión MX,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Mexico,Liga de Expansión MX,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Japan,J1 League,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Japan,J1 League,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Japan,J2 League,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Japan,J2 League,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
South Korea,K League 1,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
South Korea,K League 1,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
South Korea,K League 2,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
South Korea,K League 2,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
China,Chinese Super League,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
China,Chinese Super League,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Saudi Arabia,Saudi Pro League,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Saudi Arabia,Saudi Pro League,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Australia,A-League,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Australia,A-League,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Egypt,Premier League,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Egypt,Premier League,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
South Africa,Premier Division,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
South Africa,Premier Division,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Morocco,Botola Pro,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Morocco,Botola Pro,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Tunisia,Ligue 1,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Tunisia,Ligue 1,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Algeria,Ligue 1,C,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Algeria,Ligue 1,C,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
