country,competition,tier,competition_type,priority,materialized_matches,status
USA,MLS,1,LEAGUE,P3,0,NOT_MATERIALIZED
USA,USL Championship,2,LEAGUE,P3,0,NOT_MATERIALIZED
USA,USL League One,3,LEAGUE,P3,0,NOT_MATERIALIZED
USA,US Open Cup,cup,CUP,P3,0,NOT_MATERIALIZED
Mexico,Liga MX,1,LEAGUE,P3,0,NOT_MATERIALIZED
Mexico,Liga de Expansión,2,LEAGUE,P3,0,NOT_MATERIALIZED
Canada,Canadian Premier League,1,LEAGUE,P3,0,NOT_MATERIALIZED
Costa Rica,Primera División,1,LEAGUE,P3,0,NOT_MATERIALIZED
Panama,Liga Panameña,1,LEAGUE,P3,0,NOT_MATERIALIZED
England,Premier League,1,LEAGUE,P5,0,NOT_MATERIALIZED
England,Championship,2,LEAGUE,P5,0,NOT_MATERIALIZED
England,League One,3,LEAGUE,P5,0,NOT_MATERIALIZED
England,League Two,4,LEAGUE,P5,0,NOT_MATERIALIZED
England,National League,5,LEAGUE,P5,0,NOT_MATERIALIZED
Spain,La Liga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Spain,Segunda División,2,LEAGUE,P5,0,NOT_MATERIALIZED
Spain,Primera Federación,3,LEAGUE,P5,0,NOT_MATERIALIZED
Germany,Bundesliga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Germany,2. Bundesliga,2,LEAGUE,P5,0,NOT_MATERIALIZED
Germany,3. Liga,3,LEAGUE,P5,0,NOT_MATERIALIZED
Italy,Serie A,1,LEAGUE,P5,0,NOT_MATERIALIZED
Italy,Serie B,2,LEAGUE,P5,0,NOT_MATERIALIZED
Italy,Serie C,3,LEAGUE,P5,0,NOT_MATERIALIZED
France,Ligue 1,1,LEAGUE,P5,0,NOT_MATERIALIZED
France,Ligue 2,2,LEAGUE,P5,0,NOT_MATERIALIZED
France,National,3,LEAGUE,P5,0,NOT_MATERIALIZED
Portugal,Primeira Liga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Portugal,Liga 2,2,LEAGUE,P5,0,NOT_MATERIALIZED
Portugal,Liga 3,3,LEAGUE,P5,0,NOT_MATERIALIZED
Netherlands,Eredivisie,1,LEAGUE,P5,0,NOT_MATERIALIZED
Belgium,Pro League,1,LEAGUE,P5,0,NOT_MATERIALIZED
Austria,Bundesliga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Switzerland,Super League,1,LEAGUE,P5,0,NOT_MATERIALIZED
Denmark,Superliga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Norway,Eliteserien,1,LEAGUE,P5,0,NOT_MATERIALIZED
Sweden,Allsvenskan,1,LEAGUE,P5,0,NOT_MATERIALIZED
Finland,Veikkausliiga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Poland,Ekstraklasa,1,LEAGUE,P5,0,NOT_MATERIALIZED
Czechia,First League,1,LEAGUE,P5,0,NOT_MATERIALIZED
Romania,Liga I,1,LEAGUE,P5,0,NOT_MATERIALIZED
Croatia,HNL,1,LEAGUE,P5,0,NOT_MATERIALIZED
Serbia,SuperLiga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Greece,Super League,1,LEAGUE,P5,0,NOT_MATERIALIZED
Turkey,Süper Lig,1,LEAGUE,P5,0,NOT_MATERIALIZED
Scotland,Premiership,1,LEAGUE,P5,0,NOT_MATERIALIZED
Ireland,Premier Division,1,LEAGUE,P5,0,NOT_MATERIALIZED
Iceland,Besta-deild,1,LEAGUE,P5,0,NOT_MATERIALIZED
Russia,Premier League,1,LEAGUE,P5,0,NOT_MATERIALIZED
Ukraine,Premier League,1,LEAGUE,P5,0,NOT_MATERIALIZED
Bulgaria,First League,1,LEAGUE,P5,0,NOT_MATERIALIZED
Slovakia,Super Liga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Slovenia,PrvaLiga,1,LEAGUE,P5,0,NOT_MATERIALIZED
Hungary,NB I,1,LEAGUE,P5,0,NOT_MATERIALIZED
Australia,A-League Men,1,LEAGUE,P4,0,NOT_MATERIALIZED
Australia,Australian Cup,cup,CUP,P4,0,NOT_MATERIALIZED
Japan,J1,1,LEAGUE,P4,0,NOT_MATERIALIZED
Japan,J2,2,LEAGUE,P4,0,NOT_MATERIALIZED
Japan,J3,3,LEAGUE,P4,0,NOT_MATERIALIZED
South Korea,K League 1,1,LEAGUE,P4,0,NOT_MATERIALIZED
South Korea,K League 2,2,LEAGUE,P4,0,NOT_MATERIALIZED
China,Super League,1,LEAGUE,P4,0,NOT_MATERIALIZED
Saudi Arabia,Saudi Pro League,1,LEAGUE,P4,0,NOT_MATERIALIZED
Saudi Arabia,Saudi First Division,2,LEAGUE,P4,0,NOT_MATERIALIZED
UAE,UAE Pro League,1,LEAGUE,P4,0,NOT_MATERIALIZED
Qatar,Stars League,1,LEAGUE,P4,0,NOT_MATERIALIZED
India,Indian Super League,1,LEAGUE,P4,0,NOT_MATERIALIZED
Thailand,Thai League 1,1,LEAGUE,P4,0,NOT_MATERIALIZED
Indonesia,Liga 1,1,LEAGUE,P4,0,NOT_MATERIALIZED
Malaysia,Super League,1,LEAGUE,P4,0,NOT_MATERIALIZED
Vietnam,V.League 1,1,LEAGUE,P4,0,NOT_MATERIALIZED
Iran,Persian Gulf Pro League,1,LEAGUE,P4,0,NOT_MATERIALIZED
Israel,Premier League,1,LEAGUE,P4,0,NOT_MATERIALIZED
South Africa,Premier Division,1,LEAGUE,P6,0,NOT_MATERIALIZED
Egypt,Premier League,1,LEAGUE,P6,0,NOT_MATERIALIZED
Morocco,Botola,1,LEAGUE,P6,0,NOT_MATERIALIZED
Algeria,Ligue 1,1,LEAGUE,P6,0,NOT_MATERIALIZED
Tunisia,Ligue 1,1,LEAGUE,P6,0,NOT_MATERIALIZED
Nigeria,NPFL,1,LEAGUE,P6,0,NOT_MATERIALIZED
Ghana,Premier League,1,LEAGUE,P6,0,NOT_MATERIALIZED
Senegal,Ligue 1,1,LEAGUE,P6,0,NOT_MATERIALIZED
