region,competition,coverage_plan,materialized,processed,pit_validated,used_in_model,odds_coverage,live_coverage,xg_coverage,cards_coverage,corners_coverage
Europe,Scottish Premiership,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Turkey Süper Lig,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Greece Super League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Austria Bundesliga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Swiss Super League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Denmark Superliga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Sweden Allsvenskan,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Norway Eliteserien,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Finland Veikkausliiga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Poland Ekstraklasa,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Czech First League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Slovakia Niké Liga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Croatia HNL,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Serbia SuperLiga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Romania Liga I,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Bulgaria First League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Hungary NB I,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Slovenia PrvaLiga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Ireland Premier Division,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Northern Ireland Premiership,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Iceland Besta deild,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Ukraine Premier League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Russia Premier League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Japan J1,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Japan J2,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Japan J3,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,K League 1,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,K League 2,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,China Super League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,A-League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Saudi Pro League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Saudi First Division,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,UAE Pro League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Qatar Stars League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Thailand League 1,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Indonesia Liga 1,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,Malaysia Super League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Asia,India Super League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Africa,South Africa Premiership,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Africa,Egypt Premier League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Africa,Morocco Botola,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Africa,Tunisia Ligue 1,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Africa,Algeria Ligue 1,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Africa,Nigeria NPFL,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Oceania,A-League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Oceania,New Zealand National League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Libertadores,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Sudamericana,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Champions League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Europa League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Conference League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Club World Cup,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Copa America,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Euro,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,World Cup,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,World Cup Qualifiers,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
International,Nations League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
