rank,country,competition,tier,market,sample_size,model,ROI,CLV,OOS,HOLDOUT,drawdown,statistical_confidence,multiple_testing_risk,overfit_risk,replication_status,status
11,Chile,Primera División,1,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
12,Chile,Primera B,2,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
13,Colombia,Primera A,1,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
14,Colombia,Primera B,2,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
15,Uruguay,Primera División,1,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
16,Uruguay,Segunda División,2,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
17,Paraguay,Primera División,1,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
18,Peru,Liga 1,1,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
19,Peru,Liga 2,2,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
20,Ecuador,Serie A,1,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
